#dataformat,5,,,,,,
#,32,32,1024,8,8,4,4
#x, y, z, u, v, w, cc,
212,20,0,13.8830757,-0.133030067,-0.5888235,1,
220,20,0,13.44306147,0.1986497,-0.470819633,1,
228,20,0,12.3758044,0.530329467,-0.352815733,1,
236,20,0,11.3085473,0.725770967,-0.303850667,1,
244,20,0,10.2412902,0.7472973,-0.343017233,1,
252,20,0,9.518337767,0.7688236,-0.3821838,1,
,,,,,,,
4,28,0,12.90150537,0.223476733,1.688681667,1,
12,28,0,12.4424758,0.262818533,1.827420167,1,
20,28,0,11.98344627,-0.1993577,1.263795567,1,
28,28,0,11.6673683,-0.661533933,0.700170967,1,
36,28,0,11.61280033,-1.123710167,0.136546367,1,
44,28,0,11.55823233,-1.217479733,-0.435403667,1,
52,28,0,11.50366433,-0.991997567,-1.014568267,1,
60,28,0,11.10733423,-0.7665154,-1.5937329,1,
68,28,0,10.57680413,-0.541033267,-2.1728975,1,
76,28,0,10.04627407,-0.2686262,-2.305641867,1,
84,28,0,9.515743967,0.016201233,-2.320225267,1,
92,28,0,9.131213933,0.301028633,-2.334808633,1,
100,28,0,8.769787533,0.585856033,-2.349392033,1,
108,28,0,8.408361133,0.676462067,-1.415783167,1,
116,28,0,8.048609167,0.7532111,-0.4145241,1,
124,28,0,8.174838333,0.8299601,0.586735,1,
132,28,0,8.301067467,0.906709133,1.587994067,1,
140,28,0,8.427296633,0.574893733,1.400584333,1,
148,28,0,8.5535258,0.228687033,1.171304767,1,
156,28,0,9.431957933,-0.117519667,0.9420252,1,
164,28,0,10.3683009,-0.4637264,0.712745633,1,
172,28,0,11.30464387,-0.5003725,0.4598864,1,
180,28,0,12.24098683,-0.499355067,0.204158267,1,
188,28,0,12.39456013,-0.498337633,-0.051569833,1,
196,28,0,12.4148945,-0.4973202,-0.307297967,1,
204,28,0,12.43522883,-0.1593316,-0.301463567,1,
212,28,0,12.45556317,0.313490467,-0.190969267,1,
220,28,0,11.8175757,0.786312567,-0.080474967,1,
228,28,0,10.69079047,1.259134633,0.030019367,1,
236,28,0,9.564005233,1.5300746,0.0758848,1,
244,28,0,8.43722,1.543301567,0.0392482,1,
252,28,0,7.650092267,1.556528567,0.002611567,1,
,,,,,,,
4,36,0,14.29486633,0.5943178,0.686237,1,
12,36,0,13.58595277,0.712207133,1.097859833,1,
20,36,0,12.8770392,0.287544933,0.6311141,1,
28,36,0,12.3128935,-0.137117267,0.1643684,1,
36,36,0,12.0135804,-0.561779467,-0.302377333,1,
44,36,0,11.7142673,-0.6510513,-0.784588133,1,
52,36,0,11.4149542,-0.449682467,-1.2802006,1,
60,36,0,11.0950583,-0.248313633,-1.775813067,1,
68,36,0,10.7670801,-0.0469448,-2.271425533,1,
76,36,0,10.43910193,0.045590433,-2.080051567,1,
84,36,0,10.11112373,0.109319,-1.7068422,1,
92,36,0,9.563294267,0.1730476,-1.333632867,1,
100,36,0,8.980674667,0.236776167,-0.9604235,1,
108,36,0,8.398055067,0.436190033,-0.1085927,1,
116,36,0,7.818954067,0.645284567,0.777386067,1,
124,36,0,8.261094967,0.8543791,1.663364867,1,
132,36,0,8.7032359,1.063473633,2.549343633,1,
140,36,0,9.1453768,0.706728367,2.191238067,1,
148,36,0,9.5875177,0.330051867,1.789310733,1,
156,36,0,10.23969063,-0.0466246,1.387383367,1,
164,36,0,10.90803357,-0.4233011,0.985456033,1,
172,36,0,11.5763765,-0.424151667,0.698249433,1,
180,36,0,12.24471943,-0.379276367,0.425000667,1,
188,36,0,12.02234383,-0.334401067,0.1517519,1,
196,36,0,11.6483548,-0.289525767,-0.121496867,1,
204,36,0,11.27436577,0.145391167,-0.0941906,1,
212,36,0,10.90037673,0.7363768,0.053377767,1,
220,36,0,10.19113647,1.327362433,0.200946133,1,
228,36,0,9.232975333,1.918348067,0.3485145,1,
236,36,0,8.274814233,2.2983219,0.437406133,1,
244,36,0,7.3166531,2.408928233,0.4513938,1,
252,36,0,6.7342842,2.5195346,0.465381467,1,
,,,,,,,
4,44,0,13.81639507,1.226570133,-0.578688667,1,
12,44,0,13.25193147,1.418672733,-0.120870367,1,
20,44,0,12.68746783,1.088606667,-0.331946533,1,
28,44,0,12.11757297,0.7585406,-0.5430227,1,
36,44,0,11.5377424,0.4284745,-0.754098867,1,
44,44,0,10.95791183,0.215527267,-1.066893933,1,
52,44,0,10.37808123,0.104072167,-1.467836033,1,
60,44,0,9.809340267,-0.0073829,-1.8687781,1,
68,44,0,9.244953833,-0.118838,-2.2697202,1,
76,44,0,8.680567433,0.083138633,-2.033418267,1,
84,44,0,8.116181,0.368076067,-1.628447067,1,
92,44,0,7.912986633,0.653013533,-1.223475867,1,
100,44,0,7.7669487,0.937950967,-0.818504667,1,
108,44,0,7.620910767,0.8260946,-0.130327333,1,
116,44,0,7.477863167,0.685928367,0.5780558,1,
124,44,0,8.202734833,0.545762133,1.2864389,1,
132,44,0,8.9276065,0.4055959,1.994822033,1,
140,44,0,9.652478133,0.028152367,1.904047667,1,
148,44,0,10.3773498,-0.357649067,1.785123667,1,
156,44,0,10.7720174,-0.7434505,1.666199667,1,
164,44,0,11.1412632,-1.129251933,1.547275667,1,
172,44,0,11.51050897,-0.9267044,1.2027222,1,
180,44,0,11.87975473,-0.6525738,0.8307169,1,
188,44,0,11.31912663,-0.3784432,0.4587116,1,
196,44,0,10.6002203,-0.1043126,0.0867063,1,
204,44,0,9.881313933,0.4738881,0.1148557,1,
212,44,0,9.162407567,1.1737574,0.303120467,1,
220,44,0,8.577119967,1.8736267,0.4913852,1,
228,44,0,8.091042967,2.573496,0.679649933,1,
236,44,0,7.604965967,3.0022574,0.840273567,1,
244,44,0,7.118889,3.084935533,0.965611833,1,
252,44,0,6.966288267,3.167613667,1.090950133,1,
,,,,,,,
4,52,0,13.014875,1.811200767,-1.748827467,1,
12,52,0,12.5071605,2.124519767,-1.449785067,1,
20,52,0,11.99944597,1.9171739,-1.458116533,1,
28,52,0,11.45332607,1.709828,-1.466448033,1,
36,52,0,10.83694887,1.5024821,-1.474779533,1,
44,52,0,10.22057163,1.245452267,-1.498817767,1,
52,52,0,9.604194433,0.945367633,-1.536467067,1,
60,52,0,9.035193633,0.645282967,-1.574116367,1,
68,52,0,8.484796167,0.3451983,-1.611765667,1,
76,52,0,7.934398667,0.504858967,-1.4093861,1,
84,52,0,7.3840012,0.7862076,-1.143474367,1,
92,52,0,7.369785467,1.067556233,-0.877562633,1,
100,52,0,7.440417233,1.348904867,-0.6116509,1,
108,52,0,7.511049,0.843598033,-0.054738833,1,
116,52,0,7.583668467,0.282166033,0.522935067,1,
124,52,0,8.2331913,-0.279265933,1.100608967,1,
132,52,0,8.882714133,-0.840697933,1.6782829,1,
140,52,0,9.532236967,-1.130918433,1.761854233,1,
148,52,0,10.1817598,-1.411585767,1.828021267,1,
156,52,0,10.49769693,-1.6922531,1.8941883,1,
164,52,0,10.78795187,-1.972920433,1.960355333,1,
172,52,0,11.0782068,-1.5152174,1.557204967,1,
180,52,0,11.36846173,-0.9676785,1.0969538,1,
188,52,0,10.9983649,-0.420139633,0.636702633,1,
196,52,0,10.51586647,0.127399233,0.1764515,1,
204,52,0,10.03336807,0.6971686,0.0931153,1,
212,52,0,9.550869633,1.275833133,0.160595433,1,
220,52,0,9.418147733,1.854497667,0.2280756,1,
228,52,0,9.545131633,2.4331622,0.295555733,1,
236,52,0,9.672115533,2.7497177,0.4129386,1,
244,52,0,9.799099433,2.7316774,0.594024867,1,
252,52,0,9.9980631,2.7136371,0.775111133,1,
,,,,,,,
4,60,0,13.35820263,2.267721167,-2.356430733,1,
12,60,0,12.4312313,2.721648367,-2.227478067,1,
20,60,0,11.50425997,2.563855933,-2.1035383,1,
28,60,0,10.7955564,2.4060635,-1.979598567,1,
36,60,0,10.48614317,2.2482711,-1.8556588,1,
44,60,0,10.17672993,1.9457897,-1.537000067,1,
52,60,0,9.8673167,1.517924533,-1.049602833,1,
60,60,0,9.647274067,1.090059367,-0.5622056,1,
68,60,0,9.462324633,0.662194233,-0.074808367,1,
76,60,0,9.2773752,0.6626013,-0.001442233,1,
84,60,0,9.092425767,0.7763659,-0.037664133,1,
92,60,0,8.716801767,0.890130467,-0.073886033,1,
100,60,0,8.3110047,1.003895033,-0.110107933,1,
108,60,0,7.9052076,0.365791833,0.1269118,1,
116,60,0,7.502193833,-0.3259545,0.3834264,1,
124,60,0,7.907,-1.017700833,0.639941,1,
132,60,0,8.311806133,-1.709447167,0.8964556,1,
140,60,0,8.7166123,-1.9401408,1.170690833,1,
148,60,0,9.121418467,-2.154594267,1.445550267,1,
156,60,0,9.606675167,-2.369047733,1.7204097,1,
164,60,0,10.0981256,-2.5835012,1.995269133,1,
172,60,0,10.58957607,-1.991216533,1.618130867,1,
180,60,0,11.0810265,-1.3007778,1.161665533,1,
188,60,0,11.09018113,-0.6103391,0.7052002,1,
196,60,0,11.01724187,0.0800996,0.248734867,1,
204,60,0,10.94430263,0.532753833,-0.0556384,1,
212,60,0,10.8713634,0.890262567,-0.2991545,1,
220,60,0,11.00675247,1.247771267,-0.5426706,1,
228,60,0,11.29682337,1.60528,-0.7861867,1,
236,60,0,11.58689427,1.815864533,-0.795933433,1,
244,60,0,11.87696517,1.8388927,-0.507261467,1,
252,60,0,12.06575937,1.861920867,-0.218589467,1,
,,,,,,,
4,68,0,13.49212907,2.853796533,-2.650512167,1,
12,68,0,12.16956583,3.503929567,-2.5973196,1,
20,68,0,10.8470026,3.1671016,-2.249365567,1,
28,68,0,9.8820132,2.830273633,-1.901411567,1,
36,68,0,9.571155067,2.493445667,-1.553457533,1,
44,68,0,9.260296967,2.067480233,-1.113040867,1,
52,68,0,8.949438833,1.564270533,-0.592498433,1,
60,68,0,8.936695733,1.061060867,-0.071955967,1,
68,68,0,9.041013667,0.557851167,0.448586467,1,
76,68,0,9.1453316,0.5551987,0.3328029,1,
84,68,0,9.2496495,0.685036533,0.048593033,1,
92,68,0,9.096192333,0.814874333,-0.235616833,1,
100,68,0,8.901943833,0.944712133,-0.5198267,1,
108,68,0,8.7076953,0.266609567,-0.346175367,1,
116,68,0,8.5145749,-0.469136733,-0.139857233,1,
124,68,0,8.648869933,-1.204883033,0.0664609,1,
132,68,0,8.783164967,-1.940629367,0.272779033,1,
140,68,0,8.91746,-2.2583359,0.631732633,1,
148,68,0,9.051755033,-2.561317367,0.996062733,1,
156,68,0,9.510557467,-2.864298867,1.3603928,1,
164,68,0,9.994343167,-3.167280333,1.7247229,1,
172,68,0,10.4781289,-2.532263633,1.4760595,1,
180,68,0,10.9619146,-1.7831228,1.152814567,1,
188,68,0,11.15804097,-1.033982,0.829569633,1,
196,68,0,11.3052035,-0.284841167,0.5063247,1,
204,68,0,11.45236603,0.145435167,0.1497369,1,
212,68,0,11.59952853,0.448123133,-0.220192467,1,
220,68,0,11.7136006,0.750811133,-0.590121833,1,
228,68,0,11.8031033,1.0534991,-0.9600512,1,
236,68,0,11.89260597,1.267800933,-1.033014133,1,
244,68,0,11.98210867,1.369273333,-0.726884067,1,
252,68,0,11.98939093,1.4707457,-0.420754,1,
,,,,,,,
4,76,0,13.18951993,3.645203867,-2.681469867,1,
12,76,0,11.5529665,4.4057731,-2.554603233,1,
20,76,0,9.916413033,3.870862267,-2.037433733,1,
28,76,0,8.666684833,3.335951467,-1.520264267,1,
36,76,0,8.124599367,2.801040633,-1.003094767,1,
44,76,0,7.582513867,2.157889633,-0.6645796,1,
52,76,0,7.0404284,1.420940533,-0.480881667,1,
60,76,0,7.214241833,0.6839914,-0.297183733,1,
68,76,0,7.6691678,-0.052957733,-0.113485767,1,
76,76,0,8.1240938,-0.033042567,-0.3027587,1,
84,76,0,8.5790198,0.187203633,-0.5907516,1,
92,76,0,8.8850246,0.407449833,-0.878744533,1,
100,76,0,9.1674635,0.627696033,-1.166737433,1,
108,76,0,9.4499024,0.022696433,-0.895311767,1,
116,76,0,9.7312056,-0.641181567,-0.5839735,1,
124,76,0,9.682880633,-1.3050596,-0.272635267,1,
132,76,0,9.6345557,-1.968937633,0.038703,1,
140,76,0,9.586230733,-2.3824851,0.4019906,1,
148,76,0,9.537905767,-2.787214867,0.767108067,1,
156,76,0,9.744880167,-3.191944633,1.132225533,1,
164,76,0,9.971509633,-3.5966744,1.497342967,1,
172,76,0,10.1981391,-2.9780359,1.323025867,1,
180,76,0,10.42476857,-2.2348865,1.083076967,1,
188,76,0,10.66001493,-1.4917371,0.843128067,1,
196,76,0,10.89672803,-0.7485877,0.603179167,1,
204,76,0,11.13344113,-0.2848831,0.312637633,1,
212,76,0,11.37015423,0.0670063,0.0018523,1,
220,76,0,11.48207653,0.4188957,-0.308933033,1,
228,76,0,11.50134287,0.7707851,-0.619718367,1,
236,76,0,11.5206092,1.046443467,-0.6698901,1,
244,76,0,11.53987553,1.224789,-0.387375,1,
252,76,0,11.5032375,1.4031345,-0.104859933,1,
,,,,,,,
4,84,0,11.80095943,4.685166,-2.623679333,1,
12,84,0,10.16654693,5.5258868,-2.449040267,1,
20,84,0,8.532134433,4.742347767,-1.829469633,1,
28,84,0,7.355096233,3.958808733,-1.209899,1,
36,84,0,7.014760433,3.1752697,-0.590328367,1,
44,84,0,6.6744246,2.271380133,-0.386635,1,
52,84,0,6.3340888,1.263197933,-0.543330167,1,
60,84,0,6.494322367,0.255015733,-0.700025333,1,
68,84,0,6.851114933,-0.753166467,-0.8567205,1,
76,84,0,7.207907467,-0.759005233,-1.0565341,1,
84,84,0,7.564700033,-0.4995382,-1.267760567,1,
92,84,0,8.169320833,-0.240071167,-1.478987,1,
100,84,0,8.813158933,0.019395867,-1.690213467,1,
108,84,0,9.456997033,-0.455303133,-1.307236567,1,
116,84,0,10.09855927,-0.982382333,-0.8818653,1,
124,84,0,10.07956783,-1.509461533,-0.456494033,1,
132,84,0,10.0605764,-2.036540733,-0.0311228,1,
140,84,0,10.04158497,-2.473442433,0.355089433,1,
148,84,0,10.02259353,-2.907167667,0.739922267,1,
156,84,0,9.966275167,-3.340892933,1.124755133,1,
164,84,0,9.9070831,-3.7746182,1.509588,1,
172,84,0,9.847891,-3.198576267,1.3637791,1,
180,84,0,9.7886989,-2.4996782,1.1534082,1,
188,84,0,9.973027733,-1.800780133,0.9430373,1,
196,84,0,10.1988074,-1.101882067,0.7326664,1,
204,84,0,10.42458707,-0.6039765,0.5502903,1,
212,84,0,10.65036673,-0.186494767,0.379115833,1,
220,84,0,10.72356593,0.230986967,0.2079414,1,
228,84,0,10.6834755,0.648468667,0.036766933,1,
236,84,0,10.6433851,0.978753333,0.065014933,1,
244,84,0,10.6032947,1.1977264,0.347836,1,
252,84,0,10.58456547,1.416699433,0.6306571,1,
,,,,,,,
4,92,0,12.01575377,5.347164967,-2.266714333,1,
12,92,0,10.42576463,6.269514867,-2.0840583,1,
20,92,0,8.835775467,5.296492233,-1.486687833,1,
28,92,0,7.724928433,4.3234696,-0.8893174,1,
36,92,0,7.490604933,3.350446967,-0.291946967,1,
44,92,0,7.256281467,2.3073098,-0.181653933,1,
52,92,0,7.021957967,1.203413133,-0.493449667,1,
60,92,0,6.916819133,0.099516467,-0.805245367,1,
68,92,0,6.862407333,-1.0043802,-1.1170411,1,
76,92,0,6.807995533,-1.1250319,-1.2514412,1,
84,92,0,6.753583767,-0.985432867,-1.338887267,1,
92,92,0,7.395596633,-0.845833867,-1.4263333,1,
100,92,0,8.1478145,-0.706234833,-1.513779333,1,
108,92,0,8.900032367,-1.067151167,-1.053040867,1,
116,92,0,9.650278967,-1.4637775,-0.5531913,1,
124,92,0,9.828396733,-1.860403833,-0.053341733,1,
132,92,0,10.00651453,-2.2570302,0.4465078,1,
140,92,0,10.1846323,-2.643550667,0.739876667,1,
148,92,0,10.36275007,-3.029715167,1.0259724,1,
156,92,0,10.15137703,-3.4158797,1.312068167,1,
164,92,0,9.9100178,-3.8020442,1.5981639,1,
172,92,0,9.668658533,-3.248899,1.487447367,1,
180,92,0,9.4272993,-2.5814701,1.328451533,1,
188,92,0,9.432566233,-1.9140412,1.169455733,1,
196,92,0,9.4798126,-1.2466123,1.010459933,1,
204,92,0,9.527059,-0.732145433,0.970310633,1,
212,92,0,9.574305367,-0.278883767,0.9777158,1,
220,92,0,9.520432367,0.174377867,0.985120967,1,
228,92,0,9.391479167,0.627639533,0.992526133,1,
236,92,0,9.262525967,0.972127433,1.058169033,1,
244,92,0,9.1335728,1.17776,1.198155433,1,
252,92,0,9.157138867,1.383392533,1.338141833,1,
,,,,,,,
4,100,0,13.94140837,6.028638233,-1.861320767,1,
12,100,0,12.26722513,6.947863067,-1.568047933,1,
20,100,0,10.59304193,5.8139657,-1.072920733,1,
28,100,0,9.3602302,4.680068367,-0.5777935,1,
36,100,0,8.9348459,3.546171,-0.082666267,1,
44,100,0,8.5094616,2.4502712,-0.022377567,1,
52,100,0,8.084077267,1.3872991,-0.338908733,1,
60,100,0,7.694932233,0.324326967,-0.655439933,1,
68,100,0,7.320017267,-0.738645133,-0.9719711,1,
76,100,0,6.945102333,-1.0671991,-0.963009333,1,
84,100,0,6.570187367,-1.201363167,-0.8678943,1,
92,100,0,7.093385033,-1.335527267,-0.772779267,1,
100,100,0,7.758703567,-1.469691333,-0.677664233,1,
108,100,0,8.424022067,-1.760578233,-0.228290967,1,
116,100,0,9.0882849,-2.062646767,0.246357367,1,
124,100,0,9.446137033,-2.364715267,0.7210057,1,
132,100,0,9.803989167,-2.6667838,1.195654,1,
140,100,0,10.1618413,-2.950647867,1.324853167,1,
148,100,0,10.51969343,-3.233870733,1.441884167,1,
156,100,0,10.26412927,-3.517093567,1.558915167,1,
164,100,0,9.961339233,-3.8003164,1.675946167,1,
172,100,0,9.6585492,-3.2321624,1.612427767,1,
180,100,0,9.355759133,-2.560423267,1.526942333,1,
188,100,0,9.1104871,-1.888684133,1.4414569,1,
196,100,0,8.8750055,-1.216945,1.355971467,1,
204,100,0,8.639523867,-0.700478633,1.412378533,1,
212,100,0,8.404042233,-0.246142067,1.525561567,1,
220,100,0,8.215196533,0.208194467,1.6387446,1,
228,100,0,8.060977533,0.662531033,1.751927633,1,
236,100,0,7.906758533,0.979550967,1.779760067,1,
244,100,0,7.752539567,1.121279167,1.6986381,1,
252,100,0,7.7922849,1.263007367,1.617516133,1,
,,,,,,,
4,108,0,13.56914357,7.2873783,-1.686205233,1,
12,108,0,12.27233663,7.967993967,-1.150265433,1,
20,108,0,10.97552967,6.617630467,-0.742524267,1,
28,108,0,9.993082167,5.267267,-0.3347831,1,
36,108,0,9.585711333,3.9169035,0.072958067,1,
44,108,0,9.178340467,2.762232333,0.1814966,1,
52,108,0,8.770969633,1.777143067,0.0307538,1,
60,108,0,8.285237633,0.7920538,-0.119989,1,
68,108,0,7.768735533,-0.193035433,-0.2707318,1,
76,108,0,7.252233433,-0.7842983,-0.263891567,1,
84,108,0,6.735731333,-1.271321,-0.215341367,1,
92,108,0,7.099227833,-1.7583437,-0.1667912,1,
100,108,0,7.601978733,-2.2453664,-0.118241033,1,
108,108,0,8.104729667,-2.490920667,0.269839,1,
116,108,0,8.607288133,-2.719247,0.6821433,1,
124,108,0,9.053992,-2.947573333,1.094447567,1,
132,108,0,9.500695867,-3.175899667,1.506751867,1,
140,108,0,9.947399733,-3.328125,1.5550091,1,
148,108,0,10.3941036,-3.477669767,1.5904431,1,
156,108,0,10.16373757,-3.627214533,1.625877133,1,
164,108,0,9.881245067,-3.7767593,1.661311133,1,
172,108,0,9.5987526,-3.181419833,1.652703467,1,
180,108,0,9.3162601,-2.495451967,1.638737367,1,
188,108,0,8.872570867,-1.809484133,1.624771267,1,
196,108,0,8.401443567,-1.123516267,1.610805167,1,
204,108,0,7.930316267,-0.617966733,1.6785762,1,
212,108,0,7.459189,-0.184608633,1.779053033,1,
220,108,0,7.2216918,0.2487495,1.879529867,1,
228,108,0,7.157662733,0.6821076,1.980006667,1,
236,108,0,7.093633667,0.951070333,1.909092333,1,
244,108,0,7.0296046,1.010173833,1.6193883,1,
252,108,0,7.075268867,1.069277333,1.329684233,1,
,,,,,,,
4,116,0,11.74173027,8.3249971,-1.507055267,1,
12,116,0,11.32808243,8.5917313,-0.757071733,1,
20,116,0,10.9144346,7.153300667,-0.367825167,1,
28,116,0,10.50336217,5.71487,0.0214214,1,
36,116,0,10.09700107,4.276439333,0.410667967,1,
44,116,0,9.69064,3.1013009,0.584376733,1,
52,116,0,9.2842789,2.154324733,0.571305933,1,
60,116,0,8.761575333,1.207348533,0.558235167,1,
68,116,0,8.193187467,0.260372367,0.5451644,1,
76,116,0,7.6247996,-0.560625867,0.391166833,1,
84,116,0,7.0564117,-1.3482796,0.199867967,1,
92,116,0,7.203975433,-2.135933333,0.008569133,1,
100,116,0,7.464834167,-2.923587067,-0.1827297,1,
108,116,0,7.7256929,-3.1227177,0.1602626,1,
116,116,0,7.9873442,-3.279859233,0.5413747,1,
124,116,0,8.479040867,-3.437000767,0.922486833,1,
132,116,0,8.970737567,-3.5941423,1.303598967,1,
140,116,0,9.462434233,-3.605301833,1.364268267,1,
148,116,0,9.9541309,-3.611319233,1.413650267,1,
156,116,0,9.776564233,-3.617336667,1.4630323,1,
164,116,0,9.547472133,-3.6233541,1.5124143,1,
172,116,0,9.31838,-3.031470133,1.5408122,1,
180,116,0,9.0892879,-2.366840867,1.566657033,1,
188,116,0,8.6113674,-1.7022116,1.592501867,1,
196,116,0,8.091092633,-1.037582333,1.6183467,1,
204,116,0,7.570817833,-0.553160833,1.645492333,1,
212,116,0,7.050543067,-0.1408465,1.673158433,1,
220,116,0,6.845236167,0.2714678,1.7008245,1,
228,116,0,6.873789967,0.683782133,1.7284906,1,
236,116,0,6.902343733,0.939298267,1.5572654,1,
244,116,0,6.9308975,0.994653333,1.132145167,1,
252,116,0,6.973424267,1.0500084,0.707024933,1,
,,,,,,,
4,124,0,10.3683961,8.630248267,-1.036474333,1,
12,124,0,10.77130947,8.600190467,-0.223477167,1,
20,124,0,11.17422283,7.287034467,0.138698033,1,
28,124,0,11.2369911,5.973878467,0.500873267,1,
36,124,0,10.6775114,4.660722467,0.863048467,1,
44,124,0,10.11803173,3.472985933,1.052766733,1,
52,124,0,9.558552067,2.393934667,1.093038233,1,
60,124,0,8.964775967,1.314883433,1.133309733,1,
68,124,0,8.3575327,0.235832167,1.173581233,1,
76,124,0,7.7502894,-0.593060533,0.799466833,1,
84,124,0,7.143046133,-1.3557399,0.315670433,1,
92,124,0,7.097908133,-2.1184193,-0.168125933,1,
100,124,0,7.141719933,-2.881098667,-0.651922333,1,
108,124,0,7.1855317,-3.077484567,-0.3522199,1,
